name,,age,Development,position,passing,dribbling,shooting,penalty taking,tackling,intercepting,Saving,penalty saving,valuation,sell-on valuation,group,Trait,,,
Marco Vogtner,Germany,29,Peak,gk,,,,6,,,5,5,"40,000,000","24,000,000",5,Resilient,,,"Hiroto Nakagawa,Japan"
Luciano Cleroux,France,24,Peak,gk,,,,5,,,4,6,"30,000,000","18,000,000",5,Resilient,,,"Patrick Kearney,Ireland"
Callum Linsen,China,25,Peak,gk,,,,6,,,4,4,"18,000,000","11,000,000",5,,,,"Alassane Traoré,Ivory Coast"
Yaw Irujo,Spain,28,Declining,gk,,,,5,,,5,5,"35,000,000","21,000,000",5,Resilient,,,"Lukas Reinhardt,Germany"
Lukas Tredegar,Wales,30,Declining,gk,,,,4,,,4,6,"25,000,000","15,000,000",5,,,,"Pedro Salvaterra,Portugal"
Ross Hwangin,South Korea,24,Developing,gk,,,,6,,,4,5,"22,000,000","13,000,000",5,Resilient,,,"Joon-ho Kim,South Korea"
Bram Llyr,Wales,25,Peak,gk,,,,6,,,5,6,"50,000,000","30,000,000",5,,,,"Ben Cartwright,England"
Luciano Maidana,Argentina,23,Developing,gk,,,,5,,,4,4,"20,000,000","12,000,000",5,,,,"André Valente,Portugal"
Bram Lawal,Nigeria,28,Peak,gk,,,,4,,,5,6,"45,000,000","27,000,000",5,Resilient,,,"Emil Rasmussen,Denmark"
Viktor Kjeld,Denmark,28,Peak,def,6,7,4,3,6,6,,,"70,000,000","42,000,000",5,Versatile,,,"Victor Assunção,Brazil"
Tom Silveyo,Uruguay,25,Peak,def,6,6,2,2,6,5,,,"65,000,000","39,000,000",5,,,,"Yannick Kouassi,Ivory Coast"
Julian Kilroy,Scotland,32,Declining,def,5,6,4,5,5,6,,,"60,000,000","36,000,000",5,Versatile,,,"Mateo Fuentes,Spain"
Moussa Vogtner,Germany,25,Peak,def,6,6,3,3,6,4,,,"60,000,000","36,000,000",5,,,,"Ross Calderwood,Scotland"
Jamie Amzil,Morocco,25,Peak,def,6,6,5,4,4,5,,,"55,000,000","33,000,000",5,Playmaker,,,"Sebastian Muñoz,Chile"
Sean Sequeiro,Uruguay,27,Peak,def,5,5,2,2,6,4,,,"50,000,000","30,000,000",5,,,,"Daniel Hofmann,Germany"
Marco Hartwig,Germany,24,Developing,def,4,6,4,4,4,5,,,"45,000,000","27,000,000",5,Resilient,,,"Issa Doumbia,Mali"
Harry Renier,France,31,Declining,def,5,5,3,3,5,3,,,"40,000,000","24,000,000",5,,,,"Oliver Henshaw,England"
Owen Corvalan,Argentina,30,Declining,def,3,5,2,5,3,6,,,"40,000,000","24,000,000",5,Resilient,,,"João Victor Cunha,Brazil"
Nicolas Fell,Scotland,26,Peak,def,3,6,3,2,5,3,,,"35,000,000","21,000,000",5,,,,"Renzo Huamán,Peru"
Ibrahim Caetano,Brazil,20,Developing,def,4,4,5,3,3,5,,,"30,000,000","18,000,000",5,Playmaker,,,"Florian Weiss,Germany"
Lucas Okorie,Nigeria,29,Peak,def,3,6,4,4,4,3,,,"27,000,000","16,000,000",5,Versatile,,,"Mohamed Salah-Eddine,Algeria"
Aidan Kjeld,Denmark,22,Developing,def,2,4,3,2,5,4,,,"30,000,000","18,000,000",5,,,,"Tom Weatherby,England"
Oskar Delmas,France,25,Peak,def,4,6,2,4,4,3,,,"35,000,000","21,000,000",5,Resilient,,,"Franco Quiroga,Argentina"
Alvaro Rong,China,22,Developing,def,6,5,2,3,3,4,,,"35,000,000","21,000,000",5,Playmaker,,,"Simon Karlsson,Sweden"
Stefano Ekstrand,Sweden,27,Peak,mid,6,7,6,6,4,4,,,"80,000,000","48,000,000",5,Playmaker,,,"Kasper Lindholm,Denmark"
Declan Silveyo,Uruguay,31,Declining,mid,6,7,5,5,5,3,,,"72,000,000","43,000,000",5,Marksman,,,"Eoin Gallagher,Ireland"
Zhao Arbel,Uruguay,29,Peak,mid,5,7,5,5,4,5,,,"75,000,000","45,000,000",5,Playmaker,,,"Jean-Baptiste Morel,France"
Declan Hartwig,Germany,30,Declining,mid,6,6,5,5,3,4,,,"65,000,000","39,000,000",5,Resilient,,,"Hassan Idrissi,Morocco"
Yaw Lindem,Sweden,27,Peak,mid,5,7,4,5,5,5,,,"75,000,000","45,000,000",5,,,,"Gianluca Moretti,Italy"
Timo Vreeman,Netherlands,26,Peak,mid,5,6,4,5,3,3,,,"55,000,000","33,000,000",5,Marksman,,,"Lewis Armstrong,England"
Bruno Kagawae,Japan,24,Peak,mid,5,5,5,4,6,4,,,"65,000,000","39,000,000",5,Resilient,,,"Min-jae Park,South Korea"
Ibrahima Corvera,Spain,26,Peak,mid,4,6,4,4,4,6,,,"60,000,000","36,000,000",5,Marksman,,,"Bastien Arnaud,France"
Oliver Tazani,Morocco,32,Declining,mid,5,5,3,4,5,6,,,"60,000,000","36,000,000",5,Versatile,,,Kwame B
Youssef Carraig,Ireland,22,Developing,mid,3,6,4,3,3,3,,,"40,000,000","24,000,000",5,,,,
Karim Birk,Denmark,28,Peak,mid,5,5,3,2,6,4,,,"50,000,000","30,000,000",5,Playmaker,,,
Jack Delmas,France,29,Peak,mid,4,4,4,3,3,5,,,"35,000,000","21,000,000",5,,,,
Viktor Broome,Scotland,24,Developing,mid,3,5,3,3,4,3,,,"27,000,000","16,000,000",5,Versatile,,,
Sven Belluno,Italy,21,Developing,mid,4,3,3,3,4,5,,,"30,000,000","18,000,000",5,Playmaker,,,
Timo Tredegar,Wales,28,Peak,mid,3,5,2,3,5,4,,,"30,000,000","18,000,000",5,,,,
Yaw Muirden,Scotland,29,Peak,for,6,7,6,6,4,3,,,"75,000,000","45,000,000",5,Marksman,,,
Wei Albrechtz,Germany,31,Declining,for,6,7,5,6,3,3,,,"70,000,000","42,000,000",5,Playmaker,,,
Timo Roldan,Brazil,25,Peak,for,5,7,6,5,4,4,,,"70,000,000","42,000,000",5,Marksman,,,
Agustin Coly,Senegal,23,Developing,for,6,6,5,5,4,3,,,"65,000,000","39,000,000",5,Playmaker,,,
Seung-ho Albrechtz,Germany,24,Developing,for,5,5,5,4,4,4,,,"55,000,000","33,000,000",5,,,,
Dylan Calderon,Scotland,27,Peak,for,4,6,6,3,2,2,,,"60,000,000","36,000,000",5,Resilient,,,
Jonas Brenner,Germany,26,Peak,for,4,6,4,6,3,4,,,"55,000,000","33,000,000",5,,,,
Chinedu Kobina,Ghana,22,Developing,for,5,5,5,3,4,3,,,"50,000,000","30,000,000",5,Resilient,,,
Sven Takase,Japan,27,Peak,for,6,5,4,3,3,4,,,"45,000,000","27,000,000",5,,,,
Yaw Morio,Japan,29,Declining,for,3,6,5,4,4,4,,,"40,000,000","24,000,000",5,Marksman,,,
